sigla,nombre,creditos,busqueda
ACT101B,Taller de Montaje: Teatro Fragmentario,15,taller de montaje: teatro fragmentario
ACT101C,Taller de Montaje: Teatro Épico y Narrativo,15,taller de montaje: teatro epico y narrativo
ACT101D,Taller de Montaje: Teatro Musical,15,taller de montaje: teatro musical
ACT101E,Taller de Montaje: Cuerpo Extracotidiano,15,taller de montaje: cuerpo extracotidiano
ACT101F,Taller de Montaje: Teatro Clásico-Barroco,15,taller de montaje: teatro clasico-barroco
ACT101G,Taller de Montaje: Teatro Colaborativo,15,taller de montaje: teatro colaborativo
ACT101H,Taller de Montaje: Practicas Performativas y Multimedia,15,taller de montaje: practicas performativas y multimedia
ACT101J,Taller de Montaje: Practicas Performativas del Teatro Contemporáneo,15,taller de montaje: practicas performativas del teatro contemporaneo
ACT103A,Procesos Creativos del Cuerpo,10,procesos creativos del cuerpo
ACT103B,Cuerpo y Territorio,10,cuerpo y territorio
ACT103C,Cuerpo y Memoria,10,cuerpo y memoria
ACT103D,Cuerpo y Medios,10,cuerpo y medios
ACT105A,"Estudios Teatrales en Chile: Problemas, Contextos y Practicas",10,"estudios teatrales en chile: problemas, contextos y practicas"
ACT105B,Poieticas Teatrales,10,poieticas teatrales
ACT105C,"Experiencia Estética, Recepción y Teatralidad",10,"experiencia estetica, recepcion y teatralidad"
ACT105D,Estudios Teatrales de la Vida Social,10,estudios teatrales de la vida social
ACT106A,Relatos de Ficción,10,relatos de ficcion
ACT106B,Ejercicios de Escritura Teatral,10,ejercicios de escritura teatral
ACT106C,Seminario de Poeticas Dramaticas,10,seminario de poeticas dramaticas
ACT106D,Taller de Dramaturgia,10,taller de dramaturgia
ACT107A,Dirección y Texto Dramatico,10,direccion y texto dramatico
ACT107B,Dirección a Partir de Soportes Textuales no Dramáticos,10,direccion a partir de soportes textuales no dramaticos
ACT107C,Dirección de Actores en la Puesta en Escena,10,direccion de actores en la puesta en escena
ACT107D,Estructura y Construcción de la Puesta en Escena,10,estructura y construccion de la puesta en escena
ACT108A,Dirección: Texto Teatral,10,direccion: texto teatral
ACT108B,Dirección: Imagen y Sonido,10,direccion: imagen y sonido
ACT108C,Dirección: Laboratorio de Creación,10,direccion: laboratorio de creacion
ACT108D,Dirección: Proyecto Autoral,10,direccion: proyecto autoral
ACT109A,Archivos Escenicos: Memoria y Relatos,10,archivos escenicos: memoria y relatos
ACT109B,Escritura Crítica y Análisis Escenico,10,escritura critica y analisis escenico
ACT109C,Teatro Aplicado: Desde lo Personal a lo Social,10,teatro aplicado: desde lo personal a lo social
ACT109D,Teorías Teatrales y de la Performance,10,teorias teatrales y de la performance
ACT111,Actuación I: Percepción Teatral,10,actuacion i: percepcion teatral
ACT1110,Introducción al Teatro,8,introduccion al teatro
ACT112,Voz I: Percepción,5,voz i: percepcion
ACT1120,Percepción Musical,6,percepcion musical
ACT113,Movimiento I: Conciencia Corporal,5,movimiento i: conciencia corporal
ACT115,El Proceso de Creación Teatral,10,el proceso de creacion teatral
ACT1150,Percepción Plastico Visual,6,percepcion plastico visual
ACT1160,Percepción Dramática,8,percepcion dramatica
ACT1170,Teatro y Sociedad,8,teatro y sociedad
ACT121,Actuación II: la Escena Realista,10,actuacion ii: la escena realista
ACT1210,Actuación Voz y Movimiento I,12,actuacion voz y movimiento 1
ACT1211,Percepción Actoral,10,percepcion actoral
ACT1212,Teatro y Sociedad (ACT1212),10,teatro y sociedad (act1212)
ACT1213,Percepción del Movimiento,6,percepcion del movimiento
ACT1214,Percepción Vocal,6,percepcion vocal
ACT122,Voz II: Acción Verbal,5,voz ii: accion verbal
ACT1221,Actuación I,10,actuacion 1
ACT1222,Teoría Cultural del Drama,10,teoria cultural del drama
ACT1223,Movimiento I,6,movimiento 1
ACT1224,Voz I,6,voz 1
ACT1225,Gestión y Producción Teatral,10,gestion y produccion teatral
ACT123,Movimiento II: Principios,5,movimiento ii: principios
ACT1230,Teoría Dramática,8,teoria dramatica
ACT1231,Actuación II,10,actuacion 2
ACT1233,Movimiento II,6,movimiento 2
ACT1234,Voz II,6,voz 2
ACT1235,Teatro Antiguo,10,teatro antiguo
ACT1236,Teoría y Tecnica Dramática I,10,teoria y tecnica dramatica 1
ACT124,Del Teatro Antiguo al Renacentista,10,del teatro antiguo al renacentista
ACT1241,Actuación III,10,actuacion 3
ACT1243,Taller de Movimiento,6,taller de movimiento
ACT1244,Voz III,6,voz 3
ACT1245,Teatro del Siglo XIX,10,teatro del siglo xix
ACT1246,Teoría y Tecnica Dramática II,10,teoria y tecnica dramatica 2
ACT125,Introducción a los Estudios Teatrales,10,introduccion a los estudios teatrales
ACT1250,Historia del Teatro I,6,historia del teatro 1
ACT1251,Taller de Actuación I,10,taller de actuacion 1
ACT1253,Pantomima,6,pantomima
ACT1254,Verso,6,verso
ACT1255,Teatro Contemporáneo I,10,teatro contemporaneo 1
ACT1256,Taller de Construcción Dramática,10,taller de construccion dramatica
ACT126,Teoría y Práctica de la Dramaturgia I,10,teoria y practica de la dramaturgia 1
ACT1260,Teatro y Sociedad II,8,teatro y sociedad 2
ACT1261,Taller de Actuación II,10,taller de actuacion 2
ACT1263,Comedia del Arte,6,comedia del arte
ACT1264,Canto,6,canto
ACT1265,Teatro Contemporáneo II,10,teatro contemporaneo 2
ACT1267,Escenario I,10,escenario 1
ACT1270,Historia del Teatro II,6,historia del teatro 2
ACT1271,Taller de Actuación III,15,taller de actuacion 3
ACT1277,Escenario II,10,escenario 2
ACT1281,Realización Artística,25,realizacion artistica
ACT1282,Taller de Investigación Teórica,15,taller de investigacion teorica
ACT1290,Taller de Testimonios,10,taller de testimonios
ACT1291,Re-Conociendo la Emoción,10,re-conociendo la emocion
ACT1293,Taller de Rehabilitación de Obras Escénicas,10,taller de rehabilitacion de obras escenicas
ACT1294,Laboratorio de Puesta en Escena para Lenguaje Audiovisual,10,laboratorio de puesta en escena para lenguaje audiovisual
ACT1295,Poeticas del Espacio Escenico,10,poeticas del espacio escenico
ACT1296,"Taller Vocal: Entrenamiento, Imagen y Acción",10,"taller vocal: entrenamiento, imagen y accion"
ACT1297,Teatro Gestual,10,teatro gestual
ACT1298,La Mascara en el Trabajo del Actor,10,la mascara en el trabajo del actor
ACT1299,Entrenamiento y Cuerpo-Metafora,10,entrenamiento y cuerpo-metafora
ACT130,Actuación III: La Escena Moderna en el Siglo XX,10,actuacion iii: la escena moderna en el siglo xx
ACT1300,Actuación II (ACT1300),8,actuacion 2 (act1300)
ACT1301,"Creación Colaborativa: Memoria, Archivo y Teatro Documental",10,"creacion colaborativa: memoria, archivo y teatro documental"
ACT1302,Tenicas Actorales para Lenguaje Audiovisual,10,tenicas actorales para lenguaje audiovisual
ACT1303,Técnicas de Maquillaje Teatral,10,tecnicas de maquillaje teatral
ACT1304,Re-Conociendo la Emoción II,10,re-conociendo la emocion 2
ACT1305,Actuación: Exploración y Acontecimiento,10,actuacion: exploracion y acontecimiento
ACT1306,Activismos Feministas en América Latina: Performance y Política,10,activismos feministas en america latina: performance y politica
ACT1307,Comunicación Expresiva: Conciencia Vocal y Corporal,10,comunicacion expresiva: conciencia vocal y corporal
ACT1308,Conciencia y Expresión del Cuerpo,10,conciencia y expresion del cuerpo
ACT1309,Imaginarios para la Construcción del Teatro Chileno,10,imaginarios para la construccion del teatro chileno
ACT1311,Mitos Clasicos y Creación de Relatos en la Dramaturgia,10,mitos clasicos y creacion de relatos en la dramaturgia
ACT1312,Performance como Experiencia para la Transformación Social,10,performance como experiencia para la transformacion social
ACT1313,Problemas de las Artes Escénicas Hoy,10,problemas de las artes escenicas hoy
ACT1314,Teatro Aplicado,10,teatro aplicado
ACT1315,La Experiencia de la Creación Teatral,10,la experiencia de la creacion teatral
ACT1316,Taller Final de Escritura,10,taller final de escritura
ACT1317,Entre el Yo y el Personaje,10,entre el yo y el personaje
ACT1318,Improvisación y Juego Escenico,10,improvisacion y juego escenico
ACT1319,"Cuerpo, Emoción y Arte",10,"cuerpo, emocion y arte"
ACT132,Voz III: Texto y Expresividad,5,voz iii: texto y expresividad
ACT1320,Movimiento II (ACT1320),8,movimiento 2 (act1320)
ACT1321,El Diálogo Teatral para la Comunicación Escenica,10,el dialogo teatral para la comunicacion escenica
ACT1322,"Escena, Partitura y Pixel: Reflexion Crítica sobre Inteligencia Artificial en las Artes",10,"escena, partitura y pixel: reflexion critica sobre inteligencia artificial en las artes"
ACT1323,"Cuerpo, Voz y Tecnología",10,"cuerpo, voz y tecnologia"
ACT133,Movimiento III: Articulación y Construcción,5,movimiento iii: articulacion y construccion
ACT1330,Tecnica Dramática,8,tecnica dramatica
ACT134,Del Teatro Barroco al Realismo Histórico,10,del teatro barroco al realismo historico
ACT136,Teoría y Práctica de la Dramaturgia II,10,teoria y practica de la dramaturgia 2
ACT1360,Técnicas de Investigación,8,tecnicas de investigacion
ACT1370,Voz II (ACT1370),5,voz 2 (act1370)
ACT140,Actuación IV: La Escena Clásica,10,actuacion iv: la escena clasica
ACT1400,Actuación III (ACT1400),8,actuacion 3 (act1400)
ACT141,Actuación IV: La Escena Clásica y Barroca,10,actuacion iv: la escena clasica y barroca
ACT142,Voz IV: Texto Clásico,5,voz iv: texto clasico
ACT1420,Movimiento III,8,movimiento 3
ACT143,Movimiento IV: Dramaturgia Corporal,5,movimiento iv: dramaturgia corporal
ACT1430,Construcción Dramática,6,construccion dramatica
ACT144,Vanguardias y Teatro Épico en las Artes Escénicas,10,vanguardias y teatro epico en las artes escenicas
ACT1450,Historia del Teatro III,6,historia del teatro 3
ACT1460,Voz III (ACT1460),5,voz 3 (act1460)
ACT1470,Teatro y Psicología I,8,teatro y psicologia 1
ACT1500,Actuación IV,8,actuacion 4
ACT1510,Voz IV,5,voz 4
ACT152,Taller de Voz Cantada,5,taller de voz cantada
ACT1520,Movimiento IV,8,movimiento 4
ACT1530,Taller de Dramaturgia (ACT1530),8,taller de dramaturgia (act1530)
ACT154,Transformaciones del Cuerpo y la Palabra en Escena (2da Mitad Siglo Xx),10,transformaciones del cuerpo y la palabra en escena (2da mitad siglo xx)
ACT1550,Historia del Teatro IV,6,historia del teatro 4
ACT1560,Teatro y Psicología II,8,teatro y psicologia 2
ACT1600,Actuación V,10,actuacion 5
ACT1620,Movimiento V,8,movimiento 5
ACT1630,Voz V,5,voz 5
ACT1640,Historia del Teatro V,6,historia del teatro 5
ACT1650,Escenario,8,escenario
ACT1710,Taller de Actuación I (ACT1710),19,taller de actuacion 1 (act1710)
ACT1720,Voz VI,5,voz 6
ACT1740,Historia del Teatro VI,6,historia del teatro 6
ACT1800,Taller de Actuación II (ACT1800),22,taller de actuacion 2 (act1800)
ACT1900,Proyecto de Título,54,proyecto de titulo
ACT191B,Práctica Profesional,6,practica profesional
ACT191C,Tesis,14,tesis
ACT2110,Percepción Actoral (ACT2110),12,percepcion actoral (act2110)
ACT2120,Teatro y Sociedad I,8,teatro y sociedad 1
ACT2130,Movimiento I (ACT2130),6,movimiento 1 (act2130)
ACT2140,Voz I (ACT2140),6,voz 1 (act2140)
ACT2170,Percepción Plastico Visual (ACT2170),8,percepcion plastico visual (act2170)
ACT2180,Percepción Musical (ACT2180),6,percepcion musical (act2180)
ACT2210,Actuación I (ACT2210),8,actuacion 1 (act2210)
ACT2220,Teatro y Sociedad II (ACT2220),8,teatro y sociedad 2 (act2220)
ACT2230,Movimiento II (ACT2230),6,movimiento 2 (act2230)
ACT2240,Voz II (ACT2240),6,voz 2 (act2240)
ACT2250,Historia del Teatro Chileno,8,historia del teatro chileno
ACT2260,Percepción Dramática (ACT2260),8,percepcion dramatica (act2260)
ACT2270,Percepción Dramática (ACT2270),10,percepcion dramatica (act2270)
ACT2280,Historia del Teatro Chileno (ACT2280),10,historia del teatro chileno (act2280)
ACT2290,Teatro y Sociedad II (ACT2290),10,teatro y sociedad 2 (act2290)
ACT2310,Actuación II (ACT2310),8,actuacion 2 (act2310)
ACT2330,Pantomima (ACT2330),6,pantomima (act2330)
ACT2340,Voz III (ACT2340),6,voz 3 (act2340)
ACT2350,Teatro Chileno Contemporáneo,8,teatro chileno contemporaneo
ACT2351,Teatro Chileno Contemporáneo (ACT2351),10,teatro chileno contemporaneo (act2351)
ACT2360,Teoría y Tecnica Dramática I (ACT2360),8,teoria y tecnica dramatica 1 (act2360)
ACT2361,Teoría y Tecnica Dramática I (ACT2361),10,teoria y tecnica dramatica 1 (act2361)
ACT2410,Actuación III (ACT2410),8,actuacion 3 (act2410)
ACT2430,Comedia del Arte (ACT2430),6,comedia del arte (act2430)
ACT2440,Voz IV (ACT2440),6,voz 4 (act2440)
ACT2450,Teatro Antiguo Medieval,8,teatro antiguo medieval
ACT2460,Teoría y Tecnica Dramática II (ACT2460),8,teoria y tecnica dramatica 2 (act2460)
ACT2510,Actuación IV (ACT2510),8,actuacion 4 (act2510)
ACT2520,Psicología I,8,psicologia 1
ACT2530,Taller de Movimiento (ACT2530),8,taller de movimiento (act2530)
ACT2540,Voz V (ACT2540),6,voz 5 (act2540)
ACT2550,Renacimiento y Barroco,8,renacimiento y barroco
ACT2551,Renacimiento y Barroco (ACT2551),10,renacimiento y barroco (act2551)
ACT2560,Taller de Construcción Dramática (ACT2560),8,taller de construccion dramatica (act2560)
ACT2610,Taller de Actuación I (ACT2610),14,taller de actuacion 1 (act2610)
ACT2619,Taller de Actuación I (ACT2619),14,taller de actuacion 1 (act2619)
ACT2620,Psicología II,8,psicologia 2
ACT2640,Voz VI (ACT2640),8,voz 6 (act2640)
ACT2650,Neoclasico y Romantico,8,neoclasico y romantico
ACT2660,Neoclasico y Romantico (ACT2660),10,neoclasico y romantico (act2660)
ACT2670,Escenario I (ACT2670),8,escenario 1 (act2670)
ACT2710,Taller de Actuación II (ACT2710),16,taller de actuacion 2 (act2710)
ACT2720,Técnicas de Investigación (ACT2720),8,tecnicas de investigacion (act2720)
ACT2740,Voz VII,8,voz 7
ACT2750,Teatro Moderno Contemporáneo,8,teatro moderno contemporaneo
ACT2760,Teatro Moderno Contemporáneo (ACT2760),10,teatro moderno contemporaneo (act2760)
ACT2820,Memoria,15,memoria
ACT2823,Memoria (ACT2823),15,memoria (act2823)
ACT2825,Memoria (ACT2825),15,memoria (act2825)
ACT2920,Memoria (ACT2920),15,memoria (act2920)
ACT3661,Dirección Escenica,10,direccion escenica
ADE2101,Diseño Interdisciplinario en la Red de Centros y Estaciones Regionales de la UC,10,diseno interdisciplinario en la red de centros y estaciones regionales de la uc
ADE2201,Iluminación,10,iluminacion
ADE2301,Laboratorio de Proyectos para la Transformación Territorial,10,laboratorio de proyectos para la transformacion territorial
ADP001D,Introducción al Derecho,10,introduccion al derecho
ADP001E,Fundamentos de Macroeconomía,10,fundamentos de macroeconomia
ADP001G,Justicia y Bien Común,10,justicia y bien comun
ADP002D,Instituciones y Garantías del Estado,10,instituciones y garantias del estado
ADP002E,Economía del Sector Público,10,economia del sector publico
ADP002G,Gestión Pública I,10,gestion publica 1
ADP003G,Gestión Pública II,10,gestion publica 2
ADP004G,Métodos Aplicados a la Gestión Pública,10,metodos aplicados a la gestion publica
ADP005G,Evidencia para la Gestión Pública,10,evidencia para la gestion publica
ADP201C,Política en Gestión y Políticas Públicas,10,politica en gestion y politicas publicas
ADP201D,Regimen Jurídico de la Administración del Estado,10,regimen juridico de la administracion del estado
ADP201E,Gestión de Recursos Humanos en el Sector Público,10,gestion de recursos humanos en el sector publico
ADP201G,Evaluación de Programas Publicos,10,evaluacion de programas publicos
ADP201I,Operaciones de Servicios Publicos,10,operaciones de servicios publicos
ADP202E,Gestión de Personas en el Sector Público,10,gestion de personas en el sector publico
ADP202G,Administración Financiera del Estado,10,administracion financiera del estado
ADP202I,Gestión de Innovación y Tecnología,10,gestion de innovacion y tecnologia
ADP203G,Gestión de Proyectos Publicos (Capstone),10,gestion de proyectos publicos (capstone)
ADP203I,Transformación Digital,10,transformacion digital
ADP301E,Habilidades Directivas,10,habilidades directivas
ADP301G,Ética y Políticas Pubicas,5,etica y politicas pubicas
ADP302G,Probidad y Transparencia,5,probidad y transparencia
ADP303G,Auditoría Gubernamental,10,auditoria gubernamental
ADP304G,Ética Profesional,5,etica profesional
ADP305G,Entorno y Relación con el Medio,10,entorno y relacion con el medio
ADP500,Gobernar a Nivel Subnacional: Política y Gestión de los Gobiernos Regionales y Locales,10,gobernar a nivel subnacional: politica y gestion de los gobiernos regionales y locales
AEU2000,Accesibilidad en los Espacios de la Ciudad,10,accesibilidad en los espacios de la ciudad
AEU2001,Nuevas Tecnologías para el Diseño Estrategico de Información Ambiental,10,nuevas tecnologias para el diseno estrategico de informacion ambiental
AEU2002,"Genero, Espacio y Cuerpo: Hacia Proyectos con Enfoque Feminista",10,"genero, espacio y cuerpo: hacia proyectos con enfoque feminista"
AEU2003,Diseño Estrategico de Información Ambiental,10,diseno estrategico de informacion ambiental
AGC101,Gira de Estudios Ciencias Vegetales,0,gira de estudios ciencias vegetales
AGC1010,Práctica Básica III,3,practica basica 3
AGC1021,Operaciones Aplicadas Agrícolas II,6,operaciones aplicadas agricolas 2
AGC1146,Entomología General,9,entomologia general
AGC1152,Fertilidad y Fertilizantes,9,fertilidad y fertilizantes
AGC1154,Fitotecnia General,9,fitotecnia general
AGC1155,Fruticultura General,9,fruticultura general
AGC1156,Fitopatología General,9,fitopatologia general
AGC1163,Genética General,9,genetica general
AGC1180,Agroclimatología,6,agroclimatologia
